unique_id;station;station_new;Transect;depth;pressure;t190C;sal00;sbeox0ML/L;sigma;Cruise;Lat ;Lon;Bot.Depth [m];Nitrate;Phosphate;Silicate;Distance_from_shore;Profile feature;HPLC_ID;Microscopy ID;Flow cyt phyto ID;Diatoms;Dinoflagellates;Cryptophytes;Pelagophytes;T4haptophytes;Prasinophytes;Chlorophytes;Synechococcus;Chl_c3;Peri;19-But;Fuco;Neox;Pras;Viola;Asta;Allox;Zea;Lut;Chl_b;div_Chl_a;Chl_a
7_60;7;T1_4;Transect 1;60;60.38268;17.064;35.1299;1.31549;25.5614;MSM80;-8.499;-80.031;356;28.859;2.009;13.067;120;Base euphotic zone;19;9;18;45.28827286;4.477624416;27.2128315;28.71504593;74.7833786;90.59017181;0;17.94629669;51.884;3.4911;36.0135;60.5128;9.739;14.7975;3.4435;2.5028;5.4997;49.0654;0;111.9803;133.2627;289.0136
10_40;10;T1_3;Transect 1;40;40.25402;19.0875;35.055;2.3491;25.0311;MSM80;-8.499;-79.667;101;21.743;1.559;12.259;80;Base ML;24;12;23;86.5385437;0;32.58081436;6.911157608;31.83759689;18.8680687;2.832924843;7.376170635;21.4079;0;9.6754;78.6478;1.8218;4.3774;1.234;4.2684;6.739;8.1094;2.6759;20.618;4.0485;186.9453
10_60;10;T1_3;Transect 1;60;60.37166;17.339;34.985;1.49425;25.4223;MSM80;-8.499;-79.667;101;23.01;1.718;16.136;80;NA;25;NA;24;84.90015411;0;9.396679878;4.244976521;10.0678196;3.927414417;1.973589301;0;7.3791;0;5.4332;63.3216;0;0.8396;0;6.9317;1.9432;0;1.7029;6.6967;0;114.5106
13_50;13;T1_2;Transect 1;50;50.28708;17.1991;34.9852;1.56798;25.4557;MSM80;-8.5;-79.334;77;22.355;1.577;12.764;48;NA;31;15;29;306.8264771;14.92090988;7.897827625;6.319954872;39.78964615;12.50717068;2.080229282;0;26.3844;11.185;9.5507;237.8919;1.3324;2.9246;0.8342;4.7321;2.1706;0;2.0643;16.1975;0;390.3422
13_77;13;T1_2;Transect 1;77;77.4489;16.7842;35.0185;1.27692;25.5821;MSM80;-8.5;-79.334;77;23.011;1.763;18.691;48;Deepwater;32;NA;30;170.920929;87.50865173;35.18220139;2.676297426;10.92497635;22.52396774;19.67617798;13.17423534;0;33.8731;0;1.0711;5.1573;0;0;0;2.5519;0;10.2033;9.4018;3.9936;362.5874
14_40;14;T1_1;Transect 1;40;40.25898;17.2839;35.0343;1.84124;25.4678;MSM80;-8.499;-79.167;64;22.5;1.5;11.081;25;NA;36;NA;34;559.9840088;32.39801788;23.33675003;7.846977234;65.41363525;15.31402016;3.408732891;10.01618099;40.9173;22.5206;12.0461;407.4485;0;3.2736;3.895;6.3134;5.1991;11.3964;2.7941;19.8922;4.5065;717.7183
14_50;14;T1_1;Transect 1;50;50.31778;17.0905;35.0343;1.67545;25.5095;MSM80;-8.499;-79.167;64;22.729;1.567;12.672;25;NA;37;18;35;529.9727173;33.13182449;22.76627922;8.357172966;53.9589386;17.51334953;0;0;30.7818;20.0928;10.6623;333.4384;0.9789;4.085;1.2409;6.8366;4.0405;0;0;14.0202;3.4074;665.7003
18_40;18;T2_5;Transect 2;40;40.25489;20.7953;35.3138;3.60819;24.7643;MSM80;-9.499;-80.003;2423;15.191;1.337;5.06;176;Base euphotic zone and Chla max;63;27;59;26.72011185;12.35112762;13.35985279;49.67333221;64.90956879;92.77989197;3.668451309;91.10636902;50.6613;7.4511;57.7633;29.7863;9.8976;6.9577;4.6051;4.5537;2.3502;106.5643;3.6177;139.5754;185.225;354.5687
20_40;20;T2_4;Transect 2;40;NA;NA;35.0662;2.18583;NA;MSM80;-9.499;-79.668;891;20.257;1.494;8.763;140;Oxicline;69;NA;65;216.6364288;17.10725212;104.795372;39.35972214;189.2352753;81.55124664;4.51479435;19.30574989;122.1138;12.198;53.1298;208.0429;13.1968;0;5.3428;1.3792;20.9649;22.8854;4.2259;134.957;19.3084;672.5059
20_60;20;T2_4;Transect 2;60;NA;NA;35.029;1.38399;NA;MSM80;-9.499;-79.668;891;23.375;1.643;12.561;140;Base euphotic zone;70;NA;66;29.16895294;0;32.05762863;9.806315422;26.12858391;6.790765285;0.620213032;2.082218885;19.5095;0;13.2654;35.3813;1.0605;0;0.5308;1.296;6.7646;3.5802;0.6116;13.2945;3.8745;106.6547
